Crop,Nitrogen (N),Phosphorus (P),Potassium (K),pH,Rainfall (mm),Temperature (°C),Humidity (%),Yield (t/ha)
Masoor,166.14,89.76,78.76,4.6,1111.01,25.71,66.47,2.28
Masoor,40.71,69.93,54.23,6.19,426.94,26.77,59.29,1.79
Masoor,62.25,78.34,84.9,8.1,900.0,18.76,68.58,1.61
Masoor,174.32,77.58,36.51,5.48,897.96,23.34,55.47,1.65
Masoor,40.45,37.14,64.02,7.07,1079.75,23.59,56.62,1.92
Masoor,135.57,34.59,36.34,4.97,1044.08,29.78,70.11,1.91
Masoor,53.08,88.35,52.64,4.59,1093.11,26.79,58.93,1.85
Masoor,179.54,79.8,113.33,5.01,1157.9,19.96,50.97,1.85
Masoor,149.45,22.28,43.75,8.37,1126.85,22.21,71.86,1.94
Masoor,112.27,51.04,102.46,6.9,824.55,27.92,55.44,1.71
Masoor,144.79,38.96,91.67,7.05,1107.98,26.22,63.14,1.7
Masoor,108.04,80.17,38.78,6.56,483.98,30.01,63.39,1.99
Masoor,122.16,80.77,29.85,5.87,510.47,31.05,71.3,1.92
Masoor,113.63,70.67,53.65,5.85,773.63,23.86,63.2,1.68
Masoor,120.53,70.96,105.24,6.98,432.81,18.75,62.83,1.88
Masoor,87.4,77.72,96.22,6.55,801.45,23.43,66.88,1.68
Masoor,158.34,71.6,71.04,5.04,625.38,28.35,72.12,1.79
Masoor,102.11,79.55,79.57,5.94,632.38,21.32,58.31,1.98
Masoor,170.78,45.78,53.26,6.54,1027.08,26.42,70.0,1.94
Masoor,148.63,41.0,96.76,6.31,969.44,27.3,61.17,1.63
Masoor,162.34,45.9,107.94,4.97,797.32,24.9,59.3,1.84
Masoor,74.76,61.73,81.57,4.57,1081.22,28.31,70.31,1.99
Masoor,90.99,88.83,74.74,5.74,449.7,21.99,58.27,1.73
Masoor,54.77,49.85,39.75,6.75,1117.11,30.91,71.14,1.63
Masoor,61.57,45.48,42.1,8.11,1030.47,27.23,62.21,2.08
Masoor,42.92,41.08,98.22,8.15,744.74,21.69,68.36,1.67
Masoor,95.62,33.81,26.28,5.63,1188.58,24.87,66.99,1.74
Masoor,170.04,77.34,25.59,5.63,902.09,21.87,62.41,1.87
Masoor,89.45,63.57,53.62,7.82,691.63,25.78,69.76,2.09
Masoor,175.78,35.03,57.3,8.38,1166.58,23.94,63.96,1.65
Masoor,98.05,55.63,76.05,7.63,926.42,27.79,71.52,1.79
Masoor,110.38,73.14,25.08,5.3,1190.81,28.41,52.29,1.82
Masoor,106.02,42.47,35.87,7.0,778.92,23.19,58.24,1.59
Masoor,148.98,63.12,116.55,7.98,578.45,25.78,72.18,1.69
Masoor,173.79,81.83,118.33,6.69,934.58,23.88,63.09,1.78
Masoor,117.26,61.81,29.28,5.98,470.4,23.16,69.75,1.77
Masoor,46.79,62.78,38.99,7.21,563.69,18.61,60.15,1.81
Masoor,65.89,20.17,86.91,5.44,856.53,21.4,64.69,1.93
Masoor,131.68,86.64,75.96,6.96,848.41,24.27,54.24,1.66
Masoor,97.71,51.7,60.42,7.49,1151.3,25.28,68.82,1.77
Masoor,41.11,36.28,71.25,4.87,618.38,29.81,53.38,1.72
Masoor,141.91,48.91,47.48,4.62,723.81,22.09,56.95,2.09
Masoor,147.1,73.31,79.93,6.24,770.48,25.82,69.16,1.82
Masoor,116.95,51.05,105.47,5.59,920.96,25.26,67.08,2.04
Masoor,132.93,41.42,114.99,6.04,853.18,22.36,63.16,1.4
Masoor,153.45,43.12,63.72,5.74,855.23,27.84,56.23,1.47
Masoor,61.36,46.52,99.39,7.54,515.34,26.61,50.26,2.04
Masoor,94.4,49.28,119.6,6.58,1044.16,21.76,73.88,1.45
Masoor,65.49,29.74,98.15,5.08,1166.99,19.7,74.66,1.67
Masoor,118.43,29.62,110.33,5.41,1179.82,27.04,56.66,1.58
Masoor,77.78,88.69,87.55,4.76,566.23,24.8,63.95,1.59
Masoor,85.75,55.1,25.15,5.56,640.64,30.37,63.02,1.78
Masoor,167.87,42.79,97.56,7.15,663.76,26.18,67.16,1.65
Masoor,110.34,59.31,20.21,8.05,1032.64,23.21,70.03,1.58
Masoor,95.38,72.4,85.17,5.54,669.86,29.9,53.29,1.79
Masoor,105.36,45.74,30.74,8.35,571.87,23.8,55.6,2.04
Masoor,64.86,24.3,35.09,8.42,684.11,30.36,69.99,1.61
Masoor,47.1,42.81,83.16,4.87,764.73,19.4,59.22,1.79
Masoor,43.04,43.82,57.41,4.91,1176.81,22.87,73.6,1.86
Masoor,76.84,33.13,38.56,5.24,837.86,18.7,52.19,2.17
Masoor,99.26,69.72,40.48,7.92,850.12,30.15,61.89,1.67
Masoor,116.72,20.11,24.06,8.43,438.1,21.91,55.18,1.56
Masoor,155.29,23.03,56.36,5.01,1040.32,26.62,51.94,1.92
Masoor,168.56,60.63,96.66,5.95,767.3,29.74,69.46,1.87
Masoor,42.65,32.61,81.64,6.22,878.88,22.67,53.32,2.11
Masoor,67.12,41.85,106.73,7.01,572.46,30.65,62.6,1.71
Masoor,57.29,22.81,27.68,6.88,783.31,30.56,67.99,2.02
Masoor,80.25,76.25,40.12,6.34,511.95,23.62,64.69,2.11
Masoor,61.7,39.84,28.27,5.01,626.01,24.26,74.16,1.74
Masoor,159.83,32.29,40.12,4.85,543.69,23.95,58.78,2.12
Masoor,98.59,30.19,65.37,5.83,731.06,22.98,62.75,1.92
Masoor,128.07,53.11,25.74,6.32,511.08,18.76,56.05,1.96
Masoor,89.87,72.38,104.2,7.24,651.27,18.11,72.23,1.61
Masoor,50.64,24.97,37.78,7.29,741.01,18.04,61.56,1.88
Masoor,123.84,76.71,117.18,5.96,473.05,23.36,71.74,1.87
Masoor,128.15,45.94,72.97,7.44,583.71,27.75,55.78,1.57
Masoor,98.6,53.12,25.61,6.27,960.69,31.56,71.77,1.77
Masoor,78.0,47.72,46.51,7.5,486.62,25.39,50.8,1.9
Masoor,143.49,60.15,34.27,4.64,1027.3,26.79,67.1,2.08
Masoor,110.62,74.53,29.85,6.93,1124.73,22.52,57.62,1.93
Masoor,74.69,88.64,40.31,5.45,552.29,23.48,59.13,1.69
Masoor,161.87,20.2,101.96,8.1,694.64,22.24,61.64,2.06
Masoor,103.12,51.43,83.98,5.09,495.61,28.79,56.59,1.81
Masoor,154.65,43.87,90.01,6.99,1173.33,21.77,51.54,1.77
Masoor,160.77,84.43,82.76,6.76,841.44,27.52,70.12,1.61
Masoor,55.18,46.5,64.44,4.65,1072.45,25.55,59.52,1.84
Masoor,175.5,74.2,43.9,7.55,883.45,24.91,68.49,1.86
Masoor,51.75,46.49,96.91,5.26,677.73,23.08,70.63,1.83
Masoor,179.3,46.31,84.36,4.61,973.98,19.03,64.72,1.53
Masoor,140.43,64.06,112.81,7.98,978.15,18.6,58.76,1.6
Masoor,68.37,78.87,66.71,7.16,1062.43,31.71,58.35,2.13
Masoor,65.19,20.86,73.8,7.09,1092.0,18.09,56.52,1.36
Masoor,103.02,60.67,101.88,6.14,740.3,27.14,68.03,1.83
Masoor,154.67,24.54,76.11,6.55,1064.16,27.21,69.69,1.3
Masoor,124.89,85.75,42.03,7.85,1092.09,28.35,50.66,1.74
Masoor,49.41,52.71,24.9,5.29,622.67,26.0,70.36,1.76
Masoor,113.83,44.13,104.4,7.17,508.75,27.66,66.67,1.73
Masoor,51.85,66.97,66.41,7.29,1058.62,29.92,69.62,1.61
Masoor,118.84,49.88,85.6,7.44,805.22,30.33,52.51,1.93
Masoor,84.51,61.62,59.03,7.69,422.54,24.87,55.06,1.72
Masoor,60.9,44.79,101.6,7.88,948.68,31.87,70.44,1.97
Masoor,170.73,66.4,99.71,7.42,592.13,30.98,70.85,1.77
Masoor,46.82,44.98,62.44,7.49,1025.95,26.54,58.79,2.01
Masoor,56.89,29.15,31.3,7.41,732.85,24.62,59.08,1.6
Masoor,109.88,62.5,57.38,8.44,609.71,24.29,74.51,2.04
Masoor,115.19,46.1,80.44,6.86,1156.1,27.16,57.67,1.68
Masoor,45.05,25.62,40.01,7.29,1001.38,20.48,53.61,1.95
Masoor,55.67,26.23,62.02,6.84,862.34,20.08,70.25,1.68
Masoor,69.8,25.34,96.47,6.41,551.32,23.17,66.96,1.83
Masoor,141.32,53.42,43.21,5.82,714.65,19.86,69.95,1.95
Masoor,59.01,67.29,97.56,8.32,665.19,23.93,54.29,1.8
Masoor,159.63,61.25,49.04,5.97,490.99,25.82,60.08,2.01
Masoor,57.85,60.53,28.27,7.08,761.65,25.99,54.13,1.64
Masoor,78.77,70.49,104.4,5.99,1146.16,29.11,64.19,1.79
Masoor,175.16,68.49,69.49,6.43,1006.43,27.08,57.91,1.84
Masoor,82.18,41.13,51.93,5.9,640.52,19.04,53.14,1.74
Masoor,86.26,44.62,105.7,5.06,802.32,27.74,51.72,1.9
Masoor,66.33,61.41,105.46,6.3,895.12,25.22,68.33,1.78
Masoor,75.92,33.96,30.04,6.64,681.87,23.85,72.05,2.05
Masoor,85.43,47.98,95.9,5.41,1181.18,29.29,63.43,1.6
Masoor,152.26,24.23,91.69,4.56,1138.19,27.01,56.81,1.93
Masoor,88.83,78.9,35.03,8.18,998.94,24.64,65.56,1.97
Masoor,110.69,81.41,81.5,6.95,401.12,29.91,69.99,2.04
Masoor,127.87,37.18,64.83,8.31,571.3,20.18,71.19,1.7
Masoor,128.78,27.05,52.5,6.5,568.11,22.29,62.57,1.89
Masoor,176.88,48.84,104.16,8.02,695.55,18.74,52.31,1.68
Masoor,86.81,42.63,61.62,5.15,529.1,20.62,70.8,2.19
Masoor,94.51,69.64,36.96,7.15,1064.42,22.78,56.27,1.56
Masoor,51.67,51.14,86.64,5.42,855.69,18.06,70.91,1.5
Masoor,156.65,38.14,88.52,7.38,1134.66,29.22,73.15,2.06
Masoor,169.69,56.78,118.53,4.71,440.51,18.71,69.79,1.53
Masoor,76.37,73.38,28.54,5.21,486.68,20.66,53.34,1.65
Masoor,108.26,47.96,58.3,4.67,1130.1,20.32,65.83,1.65
Masoor,167.03,38.89,39.17,7.2,931.57,19.2,68.3,1.68
Masoor,59.67,43.84,114.04,7.7,747.8,23.04,70.09,2.16
Masoor,101.49,62.88,86.7,7.41,957.31,30.31,63.8,1.96
Masoor,64.88,76.21,79.26,5.18,839.04,25.92,67.6,1.94
Masoor,119.86,83.73,47.03,4.95,914.5,19.44,57.08,1.47
Masoor,154.18,87.3,89.34,6.09,488.13,18.1,52.1,1.7
Masoor,61.54,83.4,102.88,7.78,496.8,29.97,60.3,1.75
Masoor,61.3,63.35,70.61,5.71,424.42,24.3,72.25,1.71
Masoor,90.96,40.81,27.41,6.67,802.56,31.44,59.78,2.03
Masoor,74.62,46.99,108.69,5.81,770.68,31.15,65.0,1.73
Masoor,120.74,89.73,116.67,5.27,733.07,31.39,67.35,1.75
Masoor,164.94,26.89,26.16,5.76,519.63,19.59,66.37,1.85
Masoor,164.21,36.51,38.3,5.5,722.11,30.29,69.19,1.86
Masoor,163.4,81.37,112.11,6.08,972.21,18.17,53.13,1.99
Masoor,41.4,29.76,44.69,7.84,465.34,21.4,69.51,1.73
Masoor,99.35,75.99,101.35,6.4,1006.06,21.54,56.04,2.1
Masoor,128.83,66.28,79.0,6.64,895.26,28.24,66.3,1.86
Masoor,95.32,52.88,25.18,6.66,911.83,30.74,60.67,2.06
Masoor,131.04,32.49,49.21,7.25,789.44,19.88,50.99,1.55
Masoor,163.55,45.93,27.3,7.25,416.37,29.66,67.47,1.92
Masoor,79.71,52.34,117.46,5.88,971.75,24.9,72.93,1.52
Masoor,101.16,76.76,118.88,6.87,546.28,22.85,72.13,1.83
Masoor,145.48,69.93,78.09,5.78,1198.47,24.08,68.1,1.91
Arhar,117.19,75.65,71.13,5.26,392.64,34.67,42.07,2.09
Arhar,116.9,49.85,22.13,8.04,635.31,30.0,56.68,2.3
Arhar,162.7,44.66,111.41,7.59,668.8,28.48,43.61,2.23
Arhar,51.29,49.85,77.86,5.25,601.04,34.95,41.42,2.47
Arhar,139.0,70.39,54.62,7.76,340.44,30.29,44.99,2.94
Arhar,118.2,84.32,110.24,6.77,301.65,33.75,40.12,2.12
Arhar,95.93,74.76,65.61,6.52,629.31,35.31,55.85,2.14
Arhar,153.66,83.84,55.84,6.94,684.35,30.85,58.69,1.98
Arhar,78.91,31.99,110.02,6.83,711.6,34.63,54.8,2.12
Arhar,85.84,24.71,49.41,6.83,723.05,30.27,40.69,2.32
Arhar,144.67,84.67,29.95,6.89,404.08,36.27,42.19,2.0
Arhar,100.04,48.13,55.55,6.92,636.26,39.73,56.13,2.2
Arhar,49.08,36.61,108.29,8.12,771.39,32.02,40.61,2.31
Arhar,150.16,52.63,116.05,4.66,509.9,36.42,56.87,2.33
Arhar,64.15,64.33,74.5,5.06,654.69,38.6,56.52,2.27
Arhar,141.57,72.51,55.33,7.94,696.23,34.32,52.44,2.24
Arhar,84.82,29.73,102.11,4.78,637.37,36.9,57.03,2.39
Arhar,109.73,77.17,27.03,5.72,774.0,33.08,55.15,2.51
Arhar,54.72,21.13,73.5,6.11,720.63,30.47,59.81,2.27
Arhar,121.41,38.16,103.05,4.61,515.99,37.2,55.63,2.19
Arhar,42.62,69.35,49.78,8.31,707.02,34.39,50.19,2.13
Arhar,82.64,69.45,22.37,4.85,758.85,29.55,50.02,1.88
Arhar,48.78,64.41,67.06,6.28,322.77,34.21,59.45,2.24
Arhar,106.95,84.03,21.07,7.16,679.74,31.38,52.13,2.06
Arhar,133.0,37.91,92.42,5.73,781.32,31.36,52.88,2.24
Arhar,81.19,47.66,26.56,7.02,480.61,38.45,56.1,2.25
Arhar,86.75,72.16,77.12,5.03,355.26,29.46,46.72,2.13
Arhar,72.48,87.21,62.33,7.94,799.25,36.22,42.56,1.83
Arhar,92.89,74.68,91.08,7.7,646.22,29.57,41.7,1.9
Arhar,166.87,77.62,69.11,6.4,770.47,34.65,54.31,1.98
Arhar,110.01,52.53,27.65,7.66,518.98,32.45,41.27,2.13
Arhar,129.02,31.25,47.77,6.41,785.48,30.68,49.13,2.14
Arhar,84.67,71.75,60.99,6.54,319.42,32.33,51.74,2.35
Arhar,55.89,58.89,88.56,6.49,695.18,37.94,44.47,1.92
Arhar,141.91,22.8,82.64,7.68,787.24,35.89,55.58,2.05
Arhar,119.62,73.71,73.93,5.8,459.5,31.98,43.85,2.41
Arhar,166.07,77.91,80.1,7.57,630.84,36.64,40.66,1.99
Arhar,97.48,56.16,104.74,8.09,637.14,31.79,40.62,2.08
Arhar,174.89,25.23,55.51,6.33,304.22,39.73,54.78,2.12
Arhar,88.75,43.56,41.9,5.78,643.39,32.16,53.65,2.08
Arhar,146.24,84.29,90.82,7.21,441.21,37.11,40.72,1.87
Arhar,122.29,81.37,84.43,8.09,551.67,34.31,59.44,2.29
Arhar,169.5,71.82,65.55,5.06,367.71,39.68,42.12,1.95
Arhar,146.37,24.76,32.48,5.2,310.83,37.07,46.21,1.77
Arhar,108.85,68.5,109.25,5.62,501.27,36.26,47.34,2.24
Arhar,107.69,56.53,45.71,5.59,647.03,31.73,48.55,2.18
Arhar,155.32,87.28,25.93,5.54,779.96,29.51,45.85,1.96
Arhar,104.85,74.5,43.09,5.13,357.49,28.19,42.35,2.13
Arhar,81.13,75.01,22.91,5.48,531.62,28.56,45.71,2.12
Arhar,162.48,66.01,45.64,7.75,511.57,34.36,59.84,2.4
Arhar,47.99,75.87,42.76,8.43,639.66,37.06,52.78,2.28
Arhar,120.28,38.28,104.15,5.14,597.4,36.89,58.67,1.98
Arhar,54.74,85.44,39.16,4.87,533.56,31.39,50.55,1.66
Arhar,169.13,68.25,101.56,4.89,422.53,30.97,56.28,2.47
Arhar,51.29,77.18,25.69,5.48,693.57,29.99,47.34,2.22
Arhar,164.36,76.42,66.9,4.61,435.41,36.75,43.09,2.57
Arhar,69.4,29.67,29.14,7.1,706.26,39.61,53.78,2.26
Arhar,55.9,78.52,110.1,7.06,710.81,31.09,52.74,2.29
Arhar,143.18,65.47,40.39,7.64,313.88,28.14,42.05,2.13
Arhar,130.54,49.67,112.75,7.12,337.69,36.1,45.3,2.29
Arhar,68.02,38.59,33.61,7.6,773.12,36.98,47.31,2.5
Arhar,126.96,70.08,51.11,7.44,354.33,36.23,53.36,2.48
Arhar,159.14,43.06,40.97,7.55,506.54,36.42,50.68,2.39
Arhar,129.76,45.81,73.39,5.58,785.61,32.82,42.55,2.2
Arhar,175.45,32.81,39.15,5.28,606.02,37.8,53.14,1.92
Arhar,172.86,71.58,82.86,8.0,712.74,34.13,53.87,2.1
Arhar,169.65,54.71,24.56,6.49,385.7,34.21,46.72,2.15
Arhar,153.16,45.25,98.84,7.79,643.06,38.7,56.43,2.12
Arhar,138.17,54.46,68.24,5.64,756.03,32.3,45.61,2.44
Arhar,99.8,76.47,24.88,4.53,432.27,35.05,40.68,2.05
Arhar,94.62,58.24,32.59,7.47,584.15,38.49,58.48,1.82
Arhar,149.92,77.09,76.25,8.11,701.16,33.96,51.87,2.31
Arhar,121.59,29.78,22.21,7.89,732.67,35.84,47.6,2.33
Arhar,67.74,50.45,29.26,6.24,480.23,37.72,47.08,2.22
Arhar,154.0,29.89,83.22,5.51,586.75,39.9,57.09,2.48
Arhar,164.99,27.29,67.69,5.31,498.57,29.63,53.37,2.25
Arhar,92.04,65.44,43.11,7.22,642.82,37.29,44.35,2.1
Arhar,114.36,86.34,113.78,6.34,423.26,35.62,50.17,1.93
Arhar,99.83,75.05,69.94,8.14,586.6,29.86,58.49,1.88
Arhar,144.78,44.8,82.32,7.87,468.06,37.58,52.09,2.05
Arhar,141.52,70.8,69.3,8.0,666.52,38.51,43.47,2.02
Arhar,72.0,79.5,113.18,5.62,700.51,33.27,42.13,1.8
Arhar,95.18,66.6,32.93,6.05,311.83,30.56,59.3,1.72
Arhar,176.99,39.47,112.3,5.85,435.31,28.36,53.33,2.32
Arhar,72.4,25.56,32.28,4.56,483.29,28.97,51.05,2.32
Arhar,62.67,53.38,84.98,7.22,734.72,29.58,54.37,2.2
Arhar,170.49,88.41,114.74,6.27,469.25,32.28,55.86,2.41
Arhar,69.43,68.94,41.7,7.51,540.76,31.27,44.13,2.1
Arhar,142.4,29.32,64.05,8.35,709.96,39.94,49.14,1.91
Arhar,56.76,20.83,57.94,6.46,589.23,28.96,59.17,1.96
Arhar,127.92,37.6,119.67,6.59,678.3,28.81,43.87,2.47
Arhar,88.06,81.22,26.83,8.11,693.65,39.66,58.53,2.12
Arhar,65.41,59.22,75.94,4.76,538.2,29.34,40.53,2.15
Arhar,127.18,78.89,66.71,7.9,704.95,39.86,41.03,2.22
Arhar,106.69,33.49,114.65,8.27,752.28,29.27,42.6,2.19
Arhar,136.65,66.89,119.77,6.93,325.84,39.74,43.2,1.93
Arhar,97.68,70.13,20.03,4.74,714.73,36.36,50.51,2.23
Arhar,172.13,28.49,78.43,7.51,627.6,33.73,57.43,2.24
Arhar,130.05,42.63,61.35,4.65,439.64,30.16,51.92,2.21
Arhar,127.34,70.51,114.61,4.96,463.93,35.45,55.6,2.29
Arhar,63.43,20.96,113.59,6.6,480.39,37.47,40.59,2.42
Arhar,105.08,20.83,115.47,7.44,301.51,35.26,58.78,2.28
Arhar,102.12,63.77,62.32,7.1,360.88,30.65,40.48,1.82
Arhar,178.72,61.14,77.5,4.89,462.27,36.19,46.76,2.16
Arhar,101.28,83.09,59.08,6.99,467.63,31.56,56.58,2.15
Arhar,115.62,28.74,96.72,5.04,388.99,33.15,46.78,2.1
Arhar,117.48,73.58,52.4,4.68,454.23,39.61,44.52,2.36
Arhar,76.51,33.54,49.59,7.98,500.68,29.27,57.53,2.15
Arhar,149.78,84.5,91.49,8.05,729.16,38.85,42.13,1.65
Arhar,162.78,49.36,71.07,7.84,520.81,38.73,51.19,2.38
Arhar,114.61,51.26,82.06,8.33,768.0,38.78,58.94,2.39
Arhar,176.97,40.28,29.16,6.29,705.52,33.24,52.82,2.31
Arhar,164.99,35.16,67.27,4.79,418.08,34.95,50.76,2.35
Arhar,89.89,66.9,72.15,5.09,739.41,29.31,54.81,2.44
Arhar,101.4,21.02,64.04,5.67,746.93,39.79,59.73,1.91
Arhar,102.59,47.57,77.99,8.44,494.49,28.82,50.18,2.23
Arhar,47.02,87.95,97.74,8.34,749.97,38.83,42.79,1.94
Arhar,148.68,28.25,56.42,8.06,379.52,39.43,59.28,1.73
Arhar,74.88,21.88,98.04,6.33,795.11,39.87,43.09,1.91
Arhar,138.79,32.71,97.56,6.02,693.84,29.38,44.68,2.19
Arhar,40.12,81.06,111.69,7.74,303.45,34.48,54.48,2.27
Arhar,166.26,38.81,102.12,8.4,323.09,39.44,40.62,2.51
Arhar,57.5,56.09,63.37,8.24,710.91,32.87,53.08,2.15
Arhar,152.38,77.15,22.76,6.49,601.03,38.31,57.31,2.66
Arhar,171.41,26.95,47.8,5.46,321.75,28.53,49.97,2.24
Arhar,142.14,66.23,119.18,8.07,325.44,31.33,51.83,2.16
Arhar,132.44,64.59,104.76,6.03,441.86,32.65,48.75,1.86
Arhar,164.88,69.55,100.0,7.83,518.33,38.5,58.13,2.19
Arhar,110.22,50.04,72.35,5.66,669.53,31.06,47.49,1.95
Arhar,163.53,63.94,45.07,7.4,333.53,30.04,50.12,2.14
Arhar,69.01,38.08,77.2,4.83,602.18,34.01,43.46,2.28
Arhar,113.38,78.86,111.83,4.99,409.4,38.43,56.69,2.33
Arhar,155.11,34.81,116.98,7.15,581.59,28.29,49.22,2.55
Arhar,98.79,84.66,68.3,5.95,774.04,31.1,55.61,2.21
Arhar,105.05,68.7,59.06,5.69,713.81,31.19,54.68,1.94
Arhar,135.99,71.7,57.06,7.11,415.34,29.01,41.97,2.35
Arhar,103.02,77.02,113.22,7.77,545.78,37.44,53.35,2.16
Arhar,118.7,28.8,70.01,7.45,730.66,33.77,47.88,1.99
Arhar,83.52,81.63,112.66,4.78,471.01,35.69,51.72,2.08
Arhar,123.06,55.09,119.61,6.37,611.6,34.23,50.58,2.34
Arhar,100.36,68.09,75.4,7.27,449.54,31.31,43.33,1.94
Arhar,72.5,56.83,98.51,5.6,597.46,34.43,55.67,2.35
Arhar,98.08,87.21,40.22,4.65,330.85,37.6,42.79,2.43
Arhar,137.48,89.99,102.08,5.46,428.47,28.67,41.78,2.58
Arhar,55.69,80.82,46.28,4.59,710.4,38.76,42.17,2.04
Arhar,58.68,40.27,35.35,6.07,461.69,34.28,46.4,2.41
Arhar,104.04,37.71,65.48,8.31,471.8,31.32,48.24,2.22
Arhar,131.02,51.94,112.54,7.13,526.53,34.86,50.92,2.28
Arhar,167.94,50.24,107.68,7.13,464.09,39.63,59.1,2.32
Arhar,144.24,50.62,45.03,6.36,656.02,34.9,54.21,2.6
Arhar,94.19,23.21,32.27,6.96,566.94,29.69,58.89,2.11
Arhar,160.5,85.4,50.65,6.38,711.11,36.82,42.58,2.15
Arhar,152.24,67.88,73.67,5.05,651.84,30.02,43.92,1.99
Arhar,100.77,59.52,103.85,8.05,358.46,39.59,49.15,2.17
Arhar,131.7,85.14,104.92,7.75,324.31,37.75,40.08,2.14
Arhar,143.77,80.47,103.67,5.25,693.31,35.44,57.12,2.15
Arhar,58.0,74.31,100.17,7.05,777.55,33.45,42.02,1.92
Arhar,155.68,77.09,92.31,6.17,749.52,36.77,47.65,2.06
Arhar,99.5,35.19,99.2,6.91,391.44,28.43,47.81,2.4
Arhar,93.66,42.61,87.36,4.87,560.96,31.46,54.64,2.18
Arhar,83.94,86.11,79.53,6.61,438.26,30.82,52.86,2.13
Arhar,114.09,33.27,114.81,4.7,746.98,28.74,57.68,2.52
Arhar,124.03,71.63,44.68,5.24,440.01,28.17,59.1,2.47
Arhar,43.42,38.55,20.39,8.21,770.13,34.78,55.82,2.3
Arhar,105.53,26.73,75.73,5.44,401.11,28.29,52.39,2.04
Arhar,106.46,65.01,68.95,5.92,769.35,29.55,57.4,2.5
Arhar,102.13,53.31,42.52,5.78,428.63,32.77,48.75,2.1
Arhar,96.88,27.4,109.13,5.49,534.08,29.17,58.18,2.16
Arhar,57.86,38.64,66.27,4.7,408.58,37.26,54.9,2.25
Arhar,75.66,79.78,83.66,6.78,329.43,35.7,44.15,2.26
Arhar,115.54,62.91,108.53,6.52,518.33,33.67,57.09,2.51
Arhar,119.1,78.19,80.3,6.91,536.58,30.58,57.69,1.95
Arhar,124.07,30.36,64.16,6.9,321.7,33.4,42.24,1.85
Arhar,80.3,32.65,98.98,4.86,457.53,36.02,41.75,2.04
Arhar,156.65,69.43,105.64,7.39,770.21,30.24,43.55,2.16
Arhar,95.14,81.36,59.23,5.66,301.93,31.31,45.03,2.28
Arhar,153.17,49.29,29.29,5.09,405.13,29.92,55.56,1.97
Arhar,61.03,84.39,115.76,6.09,653.77,35.58,49.27,1.63
Arhar,46.57,63.9,110.25,8.18,550.11,31.83,49.24,2.37
Arhar,66.37,72.54,41.8,4.56,541.2,28.68,58.32,2.11
Arhar,69.64,88.28,54.21,7.42,594.0,38.79,53.31,1.71
Arhar,91.75,48.92,67.94,6.71,765.91,38.62,45.67,2.45
Arhar,80.5,76.24,83.77,5.38,454.53,33.55,40.56,2.1
Arhar,97.84,80.47,48.5,7.79,476.85,37.47,55.21,1.8
Arhar,68.1,28.48,51.26,5.32,332.53,31.56,48.22,2.56
Arhar,142.07,89.47,59.59,7.2,708.81,34.18,42.16,2.14
Arhar,121.19,42.9,61.18,4.67,479.49,37.8,47.22,2.65
Arhar,144.15,30.74,76.94,6.08,759.19,30.74,44.38,1.98
Arhar,41.22,31.18,117.08,5.01,436.02,31.08,42.79,2.34
Arhar,157.49,33.86,84.12,5.42,476.56,39.01,52.68,2.29
Arhar,60.15,50.08,41.4,5.24,498.25,28.54,41.4,2.24
Arhar,122.65,29.99,21.61,7.62,338.74,37.48,43.11,2.14
Arhar,177.05,33.31,35.28,6.93,480.85,37.09,46.23,2.14
Arhar,119.49,82.84,75.7,4.6,794.62,36.0,58.71,2.27
Arhar,153.4,33.87,25.44,6.68,702.63,36.12,53.35,2.05
Arhar,104.11,63.66,25.03,8.41,799.36,31.53,49.98,2.16
Arhar,177.28,46.41,50.86,6.75,552.89,31.73,47.98,1.9
Arhar,69.45,48.59,35.88,7.23,302.44,39.61,52.68,2.34
Arhar,86.95,32.65,98.71,6.21,477.99,36.75,50.59,1.85
Arhar,69.5,83.92,34.28,6.29,488.5,34.79,57.01,2.03
Arhar,82.58,77.95,61.29,6.66,707.31,33.85,52.64,2.13
Arhar,105.45,33.47,87.2,5.46,536.79,28.66,53.64,1.86
Arhar,98.27,27.37,55.34,8.25,619.02,38.5,59.56,2.09
Arhar,161.81,47.71,70.22,6.7,493.17,34.56,59.61,2.54
Arhar,173.8,85.99,81.61,5.18,678.88,36.95,53.91,2.49
Arhar,135.23,75.74,85.0,8.14,792.49,38.67,55.08,2.15
Arhar,139.02,49.2,28.67,7.17,480.11,34.24,48.54,2.14
Arhar,161.64,58.11,74.45,4.99,787.51,30.73,53.12,2.62
Arhar,121.99,76.32,84.54,7.66,589.65,30.29,49.38,2.36
Arhar,125.39,76.49,29.11,7.19,601.23,37.42,52.63,2.75
Arhar,93.98,26.71,96.44,5.22,378.88,39.16,40.56,2.33
Arhar,169.95,36.97,102.6,7.05,589.97,32.37,44.32,2.2
Arhar,40.68,58.73,27.95,6.44,642.87,36.15,45.82,2.25
Arhar,156.72,32.81,54.77,4.57,597.4,33.12,43.75,2.3
Arhar,103.91,64.49,59.89,6.8,724.08,30.94,53.26,2.19
Arhar,179.68,72.41,115.12,6.0,302.85,29.26,51.64,2.17
Arhar,146.09,85.73,104.99,6.62,471.38,39.51,44.25,2.19
Arhar,92.18,25.09,48.47,6.47,731.93,38.92,49.62,2.35
Arhar,127.69,82.85,89.0,6.31,517.68,29.38,49.3,2.28
